ID;Наименование;Описание;Фото;Производитель;Артикул;"Диаметр, мм";"Длина режущей части ножа, мм";"Общая длина, мм";"Диаметр хвостовика, мм";"Градус резки, °";"Количество зубьев, шт.";"Обрабатываемый материал";"Частота вращения, об/мин";Стоимость;Наличие
6767;"D=38.4x25.4x70 S=8 Набор фрез для сращивания ""Угол""ARDEN 336821/337821";;https://tooldirect.ru/upload/iblock/e69/e69738747700f926c54674d958c5d6f5.jpg;ARDEN;336821/337821;38.5;27.4;70;8;90;2;"МДФ,Фанера,Мягкая древесина,Твёрдая древесина,Пластик";18000;6790.00;"от 20";"Фрезы для сращивания V образные"
5091;"D=10x10x45 S=8 ARDEN арт.209830 Фреза для обработки фасадов (МДФ, пластик, ЛДСП, дерево) радиусного типа (псевдофилёнка ) R5=5 Z=2";;https://tooldirect.ru/upload/iblock/431/431b00071ccf10ad868050088ca6aa5d.png;ARDEN;209830;10;10;45;8;;;;;1540.00;"ожидается поступление";"Фрезы радиусные псевдофилёнка"
5673;"D=12 B=8 С=3.5 ARDEN Подшипник для фрез по обработке дерева  706050";;https://tooldirect.ru/upload/iblock/52b/52b902d19ffa1f79e1ef10b1ae8bb2bc.png;ARDEN;706050;;;;;;;;;350.00;"от 20";"Подшипники для фрез"
5660;"D=12.7 B=4.76 C=5 ARDEN Подшипник для фрезы для обработки дерева  706051";;https://tooldirect.ru/upload/iblock/862/862063ccd582b38649e099d42dcd2f6e.png;ARDEN;706051;;;;;;;;;360.00;"ожидается поступление";"Подшипники для фрез"
5674;"D=12.7 B=6.35 С=4.762 ARDEN Подшипник для фрез по обработки деревянных объектов  706061";;https://tooldirect.ru/upload/iblock/df4/df4f1730fd04fc42db2a780fc74b222f.png;ARDEN;706061;12.7;;;;;;;;330.00;"от 20";"Подшипники для фрез"
5028;"D=12.7x11.11x44 S=8 ARDEN арт.200821 Фреза (по композитным материалам, дереву, МДФ, ЛДСП, пластику) пазовая c углом 90&ordm; (для ручного фрезера и ЧПУ станков)";;https://tooldirect.ru/upload/iblock/2ae/2aef093e68113327e8c45da25f064f9a.png;ARDEN;200821;12.7;11.1;44;8;90;;;;1500.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5043;"D=12.7x11.5x45 (d1=2.29. i1=5.21) S=8 ARDEN арт.200810A Фреза пазового типа для Alucobond (для фрезов ручных и станков с ЧПУ) 90&deg;";;https://tooldirect.ru/upload/iblock/aa1/aa18fd164c38d47c96a16df851992ed6.png;ARDEN;200810A;12.7;11.5;45;8;90;;;;2130.00;"от 20";"Фрезы фасочные V образные";"Фрезы для сгиба композитных материалов"
5013;"D=12.7x12.7x45 S=8 ARDEN арт.157831 Фреза (обработка МДФ, дерева, ЛДСП, пластика) для обгона, а также удаления фаски 45&ordm; (для ручных фрезеров и станков ЧПУ) Z=2";;https://tooldirect.ru/upload/iblock/f2a/f2a86f7b704fe1f03aa021d1014ed503.png;ARDEN;157831;12.7;12.7;45;8;45;;;;1090.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы для снятия фаски";"Фрезы для снятия фаски 2"
5044;"D=12.7x12.7x46 (d1=2.29. i1=3.78) S=8 ARDEN арт.200820A Фреза для Alucobond пазовая (предназначена для ручных фрезов и станков с ЧПУ) 108&deg;";;https://tooldirect.ru/upload/iblock/e5e/e5e81749a15746828160ceffda16b214.png;ARDEN;200820A;12.7;12.7;46;8;108;;;;2130.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы для сгиба композитных материалов"
5045;"D=12.7x12.7x46 (d1=2.29. i1=3.78) S=8 ARDEN арт.200821A Фреза пазового типа для Alucobond (для станков с ЧПУ и фрезов ручных) 120&deg;";;https://tooldirect.ru/upload/iblock/e02/e02a105de8d76038ab6c562edd8c95bc.png;ARDEN;200821A;12.7;12.7;46;8;108;;;;2130.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы для сгиба композитных материалов"
5082;"D=12.7x12.7x48 S=8 ARDEN арт.206821 Фреза (МДФ, ЛДСП, пластик, дерево) 14гр ""хвост ласточки"" Z=2 206821";;https://tooldirect.ru/upload/iblock/1b4/1b41977fd2e2c29a0b2956d8bea8b16f.png;ARDEN;206821;12.7;12.7;48;8;14;;;;830.00;"ожидается поступление";"Фрезы ласточкин хвост";"Фрезы ласточкин хвост Z2"
5030;"D=12.7x12.7x50 S=8 ARDEN арт.200822 Фреза (обработка дерева, композитных материалов, МДФ, пластика, ЛДСП) c углом 90&ordm; (для станков с ЧПУ и ручных фрезеров) пазового типа";;https://tooldirect.ru/upload/iblock/1de/1de0bf0f7908cfc3033f4780b8b83e50.png;ARDEN;200822;12.7;12.7;45;8;90;2;"МДФ,Фанера,Мягкая древесина,Пеноблоки,Ламинат,Твёрдая древесина,Пластик,Композит";;1250.00;"до 2";"Фрезы фасочные V образные";"Фрезы V образные";"Фрезы для гипсокартона"
4960;"D=12.7x12.7x68 S=8 ARDEN арт.150811 Фреза (до обработки дерева, МДФ, ЛДСП, пластика) кромочная обгонная с усилением (нижн. подшипник) для ручного фрезера Z=3";;https://tooldirect.ru/upload/iblock/bf4/bf48c656e43e0ac8be449057acd2efe5.png;ARDEN;150811;12.7;12.7;68;8;;;;;1650.00;"от 10 до 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные с нижним подшипником Z3"
5083;"D=12.7x20.6x57 S=8 ARDEN арт.206825 Фреза (обработка дерева, МДФ, пластика, ЛДСП,) ""хвост ласточки"" 8&ordm; (для фрезеров ручных  и станков с ЧПУ)";;https://tooldirect.ru/upload/iblock/a7e/a7ed9e1dcbc8a863b80595ca0f9f137b.png;ARDEN;206825;12.7;20;57;8;8;;;;910.00;"ожидается поступление";"Фрезы ласточкин хвост";"Фрезы ласточкин хвост Z2"
4991;"D=12.7x25.4x60 S=6 ARDEN арт.152607B Фреза (дерево, пластик, МДФ, ЛДСП) об кромочная (верхний подшипник) обгонного типа для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/fd2/fd233ac521bc3ce59492979f73803d0c.png;ARDEN;152607B;12.7;25.4;60;6;;;;;1500.00;"до 2";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4969;"D=12.7x25.4x69 S=8 ARDEN арт.151821 Фреза (дерево, МДФ, ЛДСП, пластика) обгонная кромочного типа (нижний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/29d/29db45acbcf9f9d497504a77108c369e.png;ARDEN;151821;12.7;25.4;69;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1390.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4961;"D=12.7x25.4x70 S=8 ARDEN арт.150821 Фреза (для материалов: МДФ, ЛДСП, пластик, дерево) обгонная кромочная с усилением (нижн. подшипник) для фрезера ручного Z=3";;https://tooldirect.ru/upload/iblock/489/4894a9116f890a39aed5393d56cfcd73.png;ARDEN;150821;12.7;25.4;70;8;;3;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1950.00;"до 2";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные с нижним подшипником Z3"
4970;"D=12.7x31.8x75 S=6 ARDEN арт.151641 Фреза (по дереву, МДФ, ЛДСП, пластикам) обгонная кромочная (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/772/772899b5eb426d50c5cec1c6c3997433.png;ARDEN;151641;12.7;31.8;65;6;;;;;1560.00;"от 5 до 10";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4971;"D=12.7x31.8x76 S=8 ARDEN арт.151841 Фреза (обработка дерева, МДФ, ЛДСП, пластика) кромочного типа (нижн. подшипник) обгонная для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/7fb/7fb5932a34fe8ab66755138ee0747091.png;ARDEN;151841;12.7;31.8;76;8;;;;;1460.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4962;"D=12.7x38.1x81 S=8 ARDEN арт.150851 Фреза (для обработки дерева, пластика, ЛДСП, МДФ) усиленная (нижн. подшипник) обгонная кромочная для формирования ручного Z=3";;https://tooldirect.ru/upload/iblock/3bd/3bd219db1757692815cc2ece45ee4e15.png;ARDEN;150851;12.7;38.1;81;8;;;;;2380.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные с нижним подшипником Z3"
4972;"D=12.7x38.1x82 S=8 ARDEN арт.151851 Фреза (работа по пластику, МДФ, ЛДСП, дереву) обгонного типа кромочная (нижний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/c50/c5085b43929bbc2700fb2c7dbc869422.png;ARDEN;151851;12.7;38.1;70;8;;;;;1560.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4973;"D=12.7x38.1x94 S=12 ARDEN арт.151251 Фреза (МДФ, дерево, ЛДСП, пластик) обгонная кромочного типа (нижний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/e10/e10d7bfc736194d53f259638fbbaf3f4.png;ARDEN;151251;12.7;38.1;94;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;1560.00;"до 2";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4974;"D=12.7x50.8x106 S=12 ARDEN арт.151261 Фреза (дерево, пластик, МДФ, ЛДСП) обгонного типа кромочная (нижн. подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/02b/02bd612d19ddc8087b6da866e8ed2dc2.png;ARDEN;151261;12.7;50.8;106;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;2130.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
4963;"D=12.7x50.8x95 S=8 ARDEN арт.150861 Фреза (дерево, МДФ, ЛДСП, пластик) кромочная обгонная с усилением (нижн. подшипник) для фрезера ручного Z=3";;https://tooldirect.ru/upload/iblock/fae/faedfcbf811c5ecc2617daad4431c89f.png;ARDEN;150861;12.7;50.8;95;8;;;;;2850.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником";"Фрезы обгонные с нижним подшипником Z3"
4975;"D=12.7x60x115 S=12 ARDEN арт.151262 Фреза (материалы для обработки: дерево, пластик, МДФ, ЛДСП, пластик) обгонная кромочного типа (нижний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/2e1/2e146671dd648cb7104cca6a1daf143d.png;ARDEN;151262;12.7;60;115;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;2700.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с нижним подшипником"
5027;"D=12.7x9.53x42 S=8 ARDEN арт.200818 Фреза (дерево, МДФ, ЛДСП, пластик, композитные материалы) пазового типа с углом 90&ordm; (для ручных фрезеров и станков с ЧПУ)";;https://tooldirect.ru/upload/iblock/4b6/4b63b37c539302676772c5479fd3f47b.png;ARDEN;200818;12.7;9.5;42;8;90;;;;1450.00;"от 10 до 20";"Фрезы фасочные V образные";"Фрезы V образные"
5029;"D=12.7х12.7x64 S=6 ARDEN арт.200622 Фреза (композитные материалы, дерево, МДФ, ЛДСП, пластик) пазового типа V-образная 90&ordm; (для фрезерных станков с ЧПУ и ручных фрезеров)";;https://tooldirect.ru/upload/iblock/41e/41e1912054751154d419426d3c24406f.png;ARDEN;200622;12.7;12.7;45;8;90;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1410.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5048;"D=12.7х15.88x48 S=6 ARDEN арт.202611 Фреза (обработка композитных материалов, пластика, дерева, ЛДСП, МДФ) пазового типа V-образная 60&ordm; (для ручных фрезеров и ЧПУ станков)";;https://tooldirect.ru/upload/iblock/651/6517a73a16c72f26d9fd64d261c1430e.png;ARDEN;202611;12.7;15.88;48;6;60;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон";;1540.00;"от 20";"Фрезы фасочные V образные";"Фрезы V образные"
5049;"D=12.7х15.88x48 S=8 ARDEN арт.202811 Фреза (дерево,пластик, композитные материалы, МДФ, ЛДСП) V-образная 60&ordm; (для станков с ЧПУ и ручных фрезеров) пазовая";;https://tooldirect.ru/upload/iblock/e8b/e8b2e6334febaf20ece6c4ec16b17d0d.png;ARDEN;202811;13;15.88;49;8;60;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1540.00;"ожидается поступление";"Фрезы фасочные V образные";"Фрезы V образные"
4881;"D=12x12x44 S=8 ARDEN арт.108836 Фреза (работа с деревом, МДФ, пластиком, ЛДСП) пазового типа для врезания петель для ручного фрезера";;https://tooldirect.ru/upload/iblock/c97/c97f9fed42c06e34744d18b337672b0a.jpg;ARDEN;108836;12;12;44;8;;;;;1010.00;"ожидается поступление";"Фрезы для петель и замков";"Фрезы для петель"
4886;"D=12x14x82 S=8 ARDEN арт.171030-2 Фреза (обработка МДФ, ЛДСП, дерева, пластика) для петель с отрицательным углом (длинная серия) ""Рапира""";;https://tooldirect.ru/upload/iblock/f1a/f1a714f43cc7e49ac9c8cd4fe2bada85.png;ARDEN;171030-2;12;14;82;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1650.00;"ожидается поступление";"Фрезы для петель и замков";"Фрезы для петель";"Фрезы для петель RAPIRA"
4982;"D=12x15x60 S=8 ARDEN арт.151816B Фреза (материалы: МДФ, ЛДСП, пластик, дерево) обгонная кромочного типа с угловым лезвием (нижний + верхний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/5ae/5ae63a4b0afcaaad6e423e2dd3ac9c31.png;ARDEN;151816B;12;15;60;8;;;;;1900.00;"от 20";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником"
4916;"D=12x20x52 S=6 ARDEN арт.110651 Фреза (обработка материалов: МДФ, ЛДСП, дерево, пластик) прямой формы пазового типа для ручного фрезера";;https://tooldirect.ru/upload/iblock/73b/73bedb0f65c10f791b96ac57ba67dbd9.jpg;ARDEN;110651;12;20;52;6;;;;;1000.00;"до 2";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4917;"D=12x20x52 S=8 ARDEN арт.110851 Фреза (работа с деревом, МДФ, ЛДСП, пластиком) прямая форма инструмента пазовый тип для фрезера ручного";;https://tooldirect.ru/upload/iblock/ebc/ebc5d54558b839780a922c1b25e9fbbd.jpg;ARDEN;110851;12;20;52;8;;;;;1000.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4918;"D=12x25x65 S=8 ARDEN арт.110853-40 Фреза (обработка материалов: МДФ, ЛДСП, пластик, дерево) форма инструмента прямая тип пазовый для ручного фрезера";;https://tooldirect.ru/upload/iblock/73c/73c7c84fbb35124a7d901892e9fe39dc.jpg;ARDEN;110853-40;12;25;65;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1020.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4919;"D=12x25x69 S=12 ARDEN арт.110253 Фреза (обработка МДФ, пластика, ЛСДП, дерева) форма прямая тип пазовый для фрезера ручного";;https://tooldirect.ru/upload/iblock/339/339368aae9906cfcc29bdc446e7d4478.jpg;ARDEN;110253;12;25;69;12;;2;"МДФ,Фанера,Мягкая древесина,Пеноблоки,Ламинат,Твёрдая древесина,Пластик";;1020.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4851;"D=12x30x120 S=8 ARDEN арт.105836L Фреза (для работы с МДФ, ЛДСП, деревом, пластиком) прямой формы пазовая для ручного фрезера с врезным зубом Z2+1 (длинная серия)";;https://tooldirect.ru/upload/iblock/f85/f850d6a3ffa38038a9f9d51e54485362.png;ARDEN;105836L;12;30;120;8;;;;;2280.00;"от 3 до 5";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4920;"D=12x30x120 S=8 ARDEN арт.110854L Фреза (работа с материалами: дерево, пластик, МДФ, ЛДСП) прямой формы пазового типа для ручного фрезера (длинная серия)";;https://tooldirect.ru/upload/iblock/7f4/7f4d6a5e43df9b91c3f87ba26f90e473.jpg;ARDEN;110854L;12;30;120;8;;;;;1490.00;"от 5 до 10";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4890;"D=12x30x62 S=8 ARDEN арт.110854A Фреза (для работы по дереву, МДФ, пластику, ЛДСП) пазового типа прямой формы для фрезера ручного фрезера (наклонное лезвие 3&deg;)";;https://tooldirect.ru/upload/iblock/04f/04fb4fe3e297cdcd09912aea7a4366e7.png;ARDEN;110854A;12;30;62;8;;;;;1390.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые (идеальная верхняя кромка)"
4850;"D=12x30x90 S=8 ARDEN арт.105836 Фреза (подходящие материалы для работ: МДФ, ЛДСП, дерево, пластик) прямая пазового типа для фрезера ручного с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/2f1/2f19e21915006f9d3385360f000fc264.png;ARDEN;105836;12;30;90;8;;;;;1980.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
4921;"D=12x32x64 S=8 ARDEN арт.110855 Фреза (для обработки ЛДСП, МДФ, дерева, пластика) прямая форма пазовый тип для фрезера  ручного";;https://tooldirect.ru/upload/iblock/996/996a36486a2c154910dd02aa687ac79d.jpg;ARDEN;110855;12;32;64;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";28000;1120.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4993;"D=12x32x68 S=8 ARDEN арт.152803B-1 Фреза (для работы по пластику, дереву, ЛДСП, МДФ) обгонного типа кромочная (верхний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/e48/e486a7a0b1295b27da352962c00ef7f5.png;ARDEN;152803B-1;12;32;68;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1930.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4983;"D=12x32x77 S=8 ARDEN арт.151841B Фреза (для работы по пластику, МДФ, ЛДСП, дереву) обгонного типа кромочная (нижний и верхний подшипник) для ручного фрезера Z=2";;https://tooldirect.ru/upload/iblock/6ca/6ca69f3e28c9802d5314b08e8b827f2d.jpg;ARDEN;151841B;12;32;76;8;;;;;2220.00;"ожидается поступление";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним и нижним подшипником"
4891;"D=12x35x67 S=8 ARDEN арт.110856A Фреза (обработка материалов: МДФ, ЛДСП, дерево, пластик) прямой формы пазового типа для ручного фрезера (наклонное лезвие 3&deg;)";;https://tooldirect.ru/upload/iblock/37f/37f8b31e6207222eb9be1085d6d7ac36.png;ARDEN;110856A;12;35;67;8;;;;;1500.00;"до 2";"Фрезы прямые пазовые";"Фрезы прямые (идеальная верхняя кромка)"
4922;"D=12x38x72 S=8 ARDEN арт.110857 Фреза (обработка дерева, МДФ, ЛДСП, пластика) прямой формы пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/ad5/ad5b75d196dc6b19ef0f1b7c541f16a4.jpg;ARDEN;110857;12;38;72;8;;;;;1410.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4956;"D=12x38x78 S=8 ARDEN арт.110857B-40 Фреза (для обработки МДФ, дерева, пластика, ЛДСП) прямой формы пазовая для фрезера ручного";;https://tooldirect.ru/upload/iblock/99f/99f47787ef9ec5b50f3d0db302f40086.png;ARDEN;110857B-40;12;38;78;8;;3;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1650.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4892;"D=12x38x82 S=12 ARDEN арт.110257A Фреза (обработка дерева, МДФ, ЛДСП, пластика) пазового типа прямой формы для фрезера ручного (наклонное лезвие 3&deg;)";;https://tooldirect.ru/upload/iblock/dce/dce9a6decc4460e36b0dd97533b3728f.png;ARDEN;110257A;12;38;82;12;;;;;1570.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые (идеальная верхняя кромка)"
4923;"D=12x38x83 S=12 ARDEN арт.110257 Фреза (материалы для работы:; МДФ, ЛДСП, пластик, дерево) прямая формк пазовый тип для ручного фрезера";;https://tooldirect.ru/upload/iblock/97e/97eb80b9eda37b2ff15ad76003d11fa5.jpg;ARDEN;110257;12;38;83;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1410.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4957;"D=12x38x94 S=12 ARDEN арт.110257B-50 Фреза (для работ по ЛДСП, МДФ, дереву, пластику) прямая типа пазового для фрезера ручного";;https://tooldirect.ru/upload/iblock/891/8913f3f87d52f8ca06e7b0062b49b89f.png;ARDEN;110257B-50;12;38;94;12;;3;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Композит,Гипсокартон,Алюминий";;1700.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4924;"D=12x38x96 S=12 ARDEN арт.110257L Фреза ( работа по материалам: МДФ, дерево, ЛДСП, пластик) формы прямой.типа пазового для ручного фрезера (Длинная серия)";;https://tooldirect.ru/upload/iblock/688/688c1ad9e71e3866a9de25438220a88e.jpg;ARDEN;110257L;12;38;96;42;;;;;1470.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
